Player,Year,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
Al Harrington,2010,October,3,37,24.7,9.3,19,0.491,1,6,0.167,5,5.7,0.882,0.7,3.3,4,1.3,3,1,0,4,31.5,0,0,-4.3
Al Harrington,2010,November,14,30.3,18.6,6.4,14.9,0.433,1.6,5.1,0.324,4.1,5,0.814,1.7,4.9,6.6,1.6,2.2,1.3,0.5,3.4,32,2,0,-5.4
Al Harrington,2010,December,15,31.6,17.6,6.6,15,0.44,1.7,5.7,0.294,2.7,4.1,0.661,1.5,4.7,6.2,1.6,1.9,0.6,0.6,2.5,29.1,1,0,1.3
Al Harrington,2010,January,11,25.9,15.6,5,12.6,0.396,1.7,5.3,0.328,3.9,4.7,0.827,1.1,3.5,4.5,1.1,1.3,0.5,0.2,2.5,23.6,1,0,-2.4
Al Harrington,2010,February,11,30.2,19,6.6,14,0.474,2.9,6.5,0.444,2.8,4.2,0.674,0.6,4,4.6,2.1,1.5,1.1,0.2,2.8,30.1,0,0,-1.5
Al Harrington,2010,March,16,31.4,16.4,5.8,13.5,0.426,2,5.5,0.364,2.9,3.8,0.754,1,5.2,6.2,1.5,1.7,0.6,0.3,3.1,27.2,2,0,-5.5
Al Harrington,2010,April,2,32.9,17.5,5.5,15.5,0.355,3,8.5,0.353,3.5,4.5,0.778,2,1.5,3.5,0.5,3,2,0.5,2,27,0,0,-12.5
Al Harrington,2011,October,3,26.1,16.3,6,14.7,0.409,3,7,0.429,1.3,2,0.667,1.7,4.3,6,1.3,1.7,0.7,0.3,4,26.9,1,0,7
Al Harrington,2011,November,13,28.2,12.4,4.5,10.9,0.415,1.7,4.5,0.379,1.6,2.2,0.75,1.1,4.5,5.5,1.9,1.5,0.7,0.3,3.5,23.4,0,0,1.3
Al Harrington,2011,December,13,24.7,10.8,3.8,9.2,0.412,2.2,5.7,0.378,1.2,1.6,0.714,0.5,4,4.5,1.6,2.1,0.5,0.2,2.7,18.7,0,0,0.9
Al Harrington,2011,January,13,24.6,11.9,4.2,9.8,0.43,2.3,5.4,0.429,1.2,1.5,0.789,0.8,4,4.8,1.5,1.4,0.6,0.2,3.2,21,0,0,3.2
Al Harrington,2011,February,13,19.4,7,2.8,7.2,0.394,0.5,3.1,0.175,0.8,1.2,0.625,1.5,3.5,4.9,0.8,1.2,0.3,0.1,2.8,14.1,0,0,-3.2
Al Harrington,2011,March,11,18.3,9.9,3.9,8.7,0.448,1.2,3.5,0.342,0.9,1.4,0.667,1.4,1.9,3.3,1,1.1,0.5,0,1.5,15.9,0,0,6.7
Al Harrington,2011,April,7,17.7,8.4,2.9,7.4,0.385,1.1,3.9,0.296,1.6,1.7,0.917,0.7,2.1,2.9,1.3,1.1,0.4,0,2.3,13.9,0,0,0.9
Samuel Dalembert,2010,October,3,23.1,8,2.3,5.3,0.438,0,0,0,3.3,4.3,0.769,1.3,4.7,6,0,2.3,0,1.7,4,17.9,1,0,3.7
Samuel Dalembert,2010,November,15,25.7,5.9,2.5,5.5,0.451,0,0,0,1,1.3,0.789,3,5.1,8.1,1.6,2,0.5,2,3.2,23.7,1,0,-2.3
Samuel Dalembert,2010,December,14,22.8,6.5,2.9,5.7,0.5,0,0,0,0.8,0.9,0.917,2.7,6.1,8.9,1.2,1.4,0.4,2.4,3.2,25.7,2,0,-3.3
Samuel Dalembert,2010,January,15,29.8,9.8,4.1,6.8,0.608,0,0,0,1.5,1.7,0.885,3.5,8.9,12.3,0.7,1.3,1.1,2.3,3.4,34.5,8,0,-0.3
Samuel Dalembert,2010,February,11,24.6,7.6,3.5,7.3,0.488,0,0,0,0.5,1.1,0.5,2.5,7.2,9.7,0.2,1.3,0.3,1.5,2.8,23.8,2,0,-2.5
Samuel Dalembert,2010,March,17,25.7,9.9,4.3,6.8,0.629,0,0,0,1.4,2.1,0.639,3.2,5.9,9.1,0.4,1.3,0.5,1.4,3,25.7,6,0,-5.5
Samuel Dalembert,2010,April,7,28,9,3.9,6.7,0.574,0,0,0,1.3,2.1,0.6,2.6,8,10.6,0.7,1.6,0.3,1,2,25,2,0,-2.9
Samuel Dalembert,2011,October,2,11.4,2,1,2.5,0.4,0,0,0,0,0,0,0.5,2,2.5,0,1,0,2,1.5,10,0,0,-3.5
Samuel Dalembert,2011,November,13,24.2,5,2.2,5.6,0.384,0,0,0,0.7,1.2,0.563,3.5,5.2,8.6,1.1,1.4,0.2,2,2.5,22.3,0,0,-2.7
Samuel Dalembert,2011,December,12,19.1,4.8,1.9,4.4,0.434,0,0.1,0,0.9,1.3,0.733,2,4.4,6.4,0.7,1.6,0.3,1.7,3.1,17.6,1,0,-1.4
Samuel Dalembert,2011,January,16,18.8,6.9,3,5.6,0.539,0,0.1,0,0.9,1.1,0.833,1.4,3.3,4.6,0.8,0.9,0.4,1.3,2.1,17.6,1,0,-1.4
Samuel Dalembert,2011,February,13,26.3,11.2,4.5,9,0.496,0,0,0,2.2,2.9,0.763,2.5,6.5,9,0.8,1.7,0.5,0.9,3.6,25.8,3,0,-2.5
Samuel Dalembert,2011,March,16,28.6,10.8,4.5,9.6,0.471,0,0,0,1.8,2.5,0.7,3.4,7.3,10.7,0.9,2.7,0.6,1.4,2.9,28.3,6,0,-4.9
Samuel Dalembert,2011,April,8,33.6,11.3,4.6,9.6,0.481,0,0,0,2,2.6,0.762,4.1,8.5,12.6,1,1.6,1,1.4,3.4,33.4,5,0,-7.3
Josh Childress,2011,October,3,16.7,3.3,1.7,3.3,0.5,0,0.3,0,0,0.7,0,0.7,1.3,2,0,0.3,0.7,0.3,1,8.4,0,0,-1.7
Josh Childress,2011,November,14,18.6,6.7,2.5,4.3,0.583,0,0.1,0,1.7,2.2,0.774,1.8,2.1,3.9,1.2,1,0.3,0.4,1.4,14.4,0,0,-0.6
Josh Childress,2011,December,10,15.5,4.8,2.3,4.2,0.548,0,0.2,0,0.2,1.1,0.182,1.3,1,2.3,0.4,0.8,0.9,0.3,1.7,11,0,0,-2.7
Josh Childress,2011,January,5,17.4,2.8,1.2,3.2,0.375,0,0.8,0,0.4,1.2,0.333,1.4,2.4,3.8,1,1.8,0,0.4,1,8.3,0,0,-4.8
Josh Childress,2011,February,2,5.8,3,1.5,1.5,1,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,4.2,0,0,-1.5
Josh Childress,2011,March,12,14.4,4.8,2.3,3.9,0.596,0.1,0.3,0.25,0.1,0.3,0.25,1.1,1.3,2.4,1,0.6,0.5,0.6,1.2,11.9,0,0,-1.8
Josh Childress,2011,April,8,19.5,5.3,2.6,4.5,0.583,0,0.4,0,0,0.6,0,1,1.6,2.6,0.5,0.6,1.5,0.5,1.1,14.5,0,0,-4.9
James Anderson,2011,October,2,18.7,7.5,2.5,6,0.417,1.5,3.5,0.429,1,1,1,0,0.5,0.5,1,0.5,0.5,0.5,2,12.1,0,0,1
James Anderson,2011,November,4,17.1,6.8,2.3,5.3,0.429,1.8,3.3,0.538,0.5,1,0.5,0,1.3,1.3,1.8,0.8,0.3,0.5,1.3,12.4,0,0,-2.5
James Anderson,2011,January,1,3.3,2,1,2,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,-3
James Anderson,2011,February,5,8.4,2.2,0.8,2.2,0.364,0.4,1.2,0.333,0.2,0.2,1,0,0.6,0.6,0.6,0.4,0,0,0.6,3.4,0,0,-1.6
James Anderson,2011,March,11,8.6,2.6,0.8,1.9,0.429,0.5,1,0.455,0.5,0.6,0.857,0.1,0.7,0.8,0.5,0.2,0.1,0.1,0.7,4.8,0,0,-0.5
James Anderson,2011,April,3,13.5,3.3,1,4.7,0.214,0.3,2.7,0.125,1,1.3,0.75,0.3,1,1.3,0,1.7,0,0.7,1.3,5.3,0,0,-8
