Number Index,Player,Year,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
11,Alex Acker,2008,November,5,3.0,1.4,0.6,1.6,0.375,0.0,0.6,0.0,0.2,0.4,0.5,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.0,3.4,0,0,2.2
11,Alex Acker,2008,December,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0
11,Alex Acker,2008,January,1,5.2,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0,0,8.0
11,Alex Acker,2008,February,4,10.6,5.5,2.0,4.8,0.421,1.0,1.8,0.571,0.5,1.0,0.5,0.8,0.8,1.5,0.3,0.8,0.3,0.0,0.5,7.7,0,0,0.5
11,Alex Acker,2008,March,8,7.6,1.3,0.6,2.1,0.294,0.0,0.5,0.0,0.0,0.3,0.0,0.6,0.9,1.5,0.8,0.4,0.0,0.1,0.8,4.2,0,0,-1.3
11,Alex Acker,2008,April,6,12.7,5.2,2.2,4.8,0.448,0.5,0.8,0.6,0.3,0.3,1.0,0.0,0.7,0.7,0.7,0.2,0.3,0.3,0.2,8.8,0,0,-1.5
18,Hassan Adams,2008,November,6,2.5,0.3,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.2,0.0,0.5,1.3,0,0,-1.7
18,Hassan Adams,2008,December,5,6.4,1.0,0.2,1.4,0.143,0.0,0.0,0.0,0.6,1.2,0.5,0.2,0.4,0.6,0.0,0.6,0.0,0.2,0.2,1.7,0,0,0.0
18,Hassan Adams,2008,January,1,5.0,4.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.4,0,0,-4.0
28,Arron Afflalo,2008,October,1,13.6,5.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,13.0,0,0,-1.0
28,Arron Afflalo,2008,November,15,16.1,4.8,1.9,3.7,0.5,0.5,1.1,0.438,0.6,0.9,0.692,0.3,1.9,2.1,0.8,0.7,0.1,0.3,1.5,9.1,0,0,4.1
28,Arron Afflalo,2008,December,14,19.1,4.8,1.7,4.1,0.421,0.5,1.4,0.35,0.9,1.1,0.75,0.5,1.6,2.1,0.7,0.4,0.8,0.1,2.6,10.8,0,0,-1.7
28,Arron Afflalo,2008,January,14,14.8,4.7,1.6,4.0,0.393,0.5,1.6,0.304,1.1,1.1,0.938,0.5,0.9,1.4,0.4,0.7,0.1,0.3,2.1,7.2,0,0,-1.1
28,Arron Afflalo,2008,February,9,9.4,2.3,0.9,2.8,0.32,0.1,0.6,0.2,0.4,0.6,0.8,0.4,1.1,1.6,0.0,0.4,0.1,0.0,1.6,4.1,0,0,-4.9
28,Arron Afflalo,2008,March,13,21.3,6.7,2.2,5.7,0.392,1.1,2.5,0.424,1.2,1.2,1.0,0.4,1.5,1.8,0.9,0.7,0.4,0.2,2.4,11.2,0,0,-1.8
28,Arron Afflalo,2008,April,8,17.8,5.6,2.3,3.6,0.621,0.8,1.1,0.667,0.4,0.8,0.5,0.4,1.6,2.0,0.6,0.5,0.6,0.1,0.9,10.7,0,0,0.9
29,Maurice Ager,2008,November,7,2.5,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,-0.3,0,0,-3.6
29,Maurice Ager,2008,December,3,5.7,3.3,1.7,3.0,0.556,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,4.2,0,0,-3.0
29,Maurice Ager,2008,January,3,4.3,1.3,0.7,2.3,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,3.2,0,0,1.3
29,Maurice Ager,2008,February,3,3.9,2.0,0.7,2.3,0.286,0.0,0.3,0.0,0.7,1.3,0.5,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.3,3.6,0,0,3.7
29,Maurice Ager,2008,March,3,7.4,2.3,1.0,2.7,0.375,0.0,0.3,0.0,0.3,0.7,0.5,0.0,0.7,0.7,0.0,0.3,0.3,0.3,1.0,4.8,0,0,0.0
29,Maurice Ager,2008,April,1,15.9,7.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,9.9,0,0,5.0
31,Blake Ahearn,2008,November,3,6.3,2.7,0.7,2.0,0.333,0.7,1.3,0.5,0.7,0.7,1.0,0.0,0.3,0.3,0.7,0.3,0.3,0.0,1.0,4.7,0,0,2.7
33,Alexis Ajinca,2008,October,1,3.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,7.4,0,0,4.0
33,Alexis Ajinca,2008,November,12,6.9,1.8,0.8,2.1,0.36,0.0,0.0,0.0,0.3,0.3,0.75,0.3,0.5,0.8,0.0,0.7,0.2,0.3,1.7,3.5,0,0,1.4
33,Alexis Ajinca,2008,December,6,7.8,4.7,1.8,3.5,0.524,0.0,0.0,0.0,1.0,1.7,0.6,0.5,0.7,1.2,0.2,0.2,0.2,0.3,0.7,7.7,0,0,2.3
33,Alexis Ajinca,2008,January,6,6.0,2.2,0.5,2.2,0.231,0.0,0.2,0.0,1.2,1.7,0.7,0.2,1.0,1.2,0.3,0.2,0.3,0.0,1.3,4.9,0,0,-4.3
33,Alexis Ajinca,2008,February,5,2.0,1.2,0.4,1.4,0.286,0.0,0.2,0.0,0.4,0.4,1.0,0.2,0.6,0.8,0.0,0.2,0.0,0.0,0.2,2.0,0,0,-0.4
33,Alexis Ajinca,2008,March,1,3.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,-1.0
42,LaMarcus Aldridge,2008,October,2,37.2,15.5,7.0,17.0,0.412,0.5,1.5,0.333,1.0,2.0,0.5,2.0,2.5,4.5,2.0,1.0,1.0,2.0,2.0,31.9,0,0,-4.0
42,LaMarcus Aldridge,2008,November,16,33.1,15.9,6.7,14.5,0.461,0.1,0.3,0.2,2.4,3.6,0.684,2.8,4.2,7.0,1.5,1.1,1.0,1.1,2.9,31.6,3,0,8.3
42,LaMarcus Aldridge,2008,December,14,37.9,18.6,7.7,15.5,0.498,0.1,0.4,0.2,3.1,3.7,0.846,2.8,3.9,6.6,1.6,1.4,1.1,1.1,3.2,34.3,2,0,4.9
42,LaMarcus Aldridge,2008,January,14,38.0,18.6,7.7,15.1,0.509,0.0,0.2,0.0,3.2,4.5,0.714,2.7,4.4,7.1,2.6,1.9,0.9,0.5,2.2,33.2,2,0,4.8
42,LaMarcus Aldridge,2008,February,12,37.9,18.7,7.8,15.9,0.492,0.0,0.1,0.0,3.0,3.8,0.8,3.5,4.3,7.8,1.7,1.3,0.8,0.9,2.8,34.3,5,0,2.3
42,LaMarcus Aldridge,2008,March,15,38.7,19.8,7.5,15.7,0.475,0.3,0.5,0.571,4.6,5.4,0.852,3.1,5.3,8.5,2.2,1.3,0.9,0.9,2.3,37.3,6,0,7.7
42,LaMarcus Aldridge,2008,April,8,37.7,17.8,7.3,15.1,0.479,0.0,0.5,0.0,3.3,4.0,0.813,2.4,6.5,8.9,2.3,2.6,1.3,1.0,1.8,35.9,1,0,10.3
48,Joe Alexander,2008,November,16,13.2,4.1,1.6,3.9,0.403,0.4,1.0,0.375,0.6,1.0,0.625,0.9,1.4,2.3,0.6,1.0,0.3,0.4,2.3,8.9,0,0,-1.4
48,Joe Alexander,2008,December,9,10.0,3.9,1.4,3.6,0.406,0.1,0.4,0.25,0.9,1.2,0.727,0.7,0.9,1.6,0.1,0.9,0.1,0.4,1.0,6.7,0,0,0.6
48,Joe Alexander,2008,January,10,11.5,5.8,2.2,4.5,0.489,0.3,0.9,0.333,1.1,1.3,0.846,1.0,1.4,2.4,1.0,0.7,0.1,0.4,1.5,11.0,0,0,-0.4
48,Joe Alexander,2008,February,8,7.8,2.8,1.1,3.0,0.375,0.0,0.3,0.0,0.5,0.5,1.0,0.5,0.4,0.9,0.4,0.6,0.1,0.4,1.4,5.2,0,0,-1.6
48,Joe Alexander,2008,March,9,13.8,6.6,2.2,4.6,0.488,0.6,0.7,0.833,1.6,2.4,0.636,0.6,1.6,2.1,1.0,1.0,0.2,0.7,2.8,12.3,0,0,-0.6
48,Joe Alexander,2008,April,7,16.3,5.4,1.9,5.9,0.317,0.1,1.3,0.111,1.6,2.4,0.647,0.7,1.4,2.1,1.4,1.0,0.7,0.7,1.4,13.4,0,0,1.6
59,Malik Allen,2008,October,2,15.9,6.0,3.0,5.5,0.545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.5,0.0,0.5,3.5,10.2,0,0,-10.0
59,Malik Allen,2008,November,12,9.5,1.9,0.8,2.6,0.323,0.0,0.0,0.0,0.3,0.8,0.333,0.6,1.3,1.8,0.6,0.3,0.1,0.2,1.3,5.4,0,0,1.1
59,Malik Allen,2008,December,4,17.8,4.0,1.8,3.8,0.467,0.0,0.0,0.0,0.5,0.5,1.0,1.5,2.5,4.0,0.8,0.8,0.3,0.3,2.3,10.7,0,0,-2.0
59,Malik Allen,2008,January,7,11.0,4.0,1.7,3.0,0.571,0.0,0.0,0.0,0.6,1.0,0.571,0.4,1.1,1.6,0.7,0.6,0.0,0.3,2.0,7.2,0,0,0.4
59,Malik Allen,2008,February,9,10.8,2.4,1.2,3.1,0.393,0.0,0.1,0.0,0.0,0.2,0.0,0.7,1.0,1.7,0.6,0.2,0.3,0.0,0.9,6.1,0,0,0.9
59,Malik Allen,2008,March,10,11.3,2.2,1.1,3.7,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,2.1,0.9,0.2,0.1,0.3,2.3,7.1,0,0,-0.4
59,Malik Allen,2008,April,5,14.8,6.6,3.2,5.4,0.593,0.0,0.0,0.0,0.2,0.2,1.0,0.6,2.2,2.8,1.0,0.8,0.2,0.6,2.4,13.1,0,0,0.2
61,Ray Allen,2008,October,2,34.6,11.0,3.5,10.0,0.35,1.0,4.0,0.25,3.0,3.5,0.857,0.5,2.0,2.5,0.5,3.0,0.5,0.0,0.5,13.3,0,0,7.5
61,Ray Allen,2008,November,16,35.1,18.4,6.4,13.1,0.49,2.1,5.8,0.359,3.4,3.8,0.917,1.3,3.1,4.4,3.1,1.8,0.9,0.1,1.7,29.2,0,0,9.3
61,Ray Allen,2008,December,15,36.8,18.5,6.5,12.7,0.511,2.8,6.3,0.442,2.8,3.0,0.933,0.7,1.9,2.6,2.3,1.4,0.7,0.1,1.9,26.1,0,0,14.3
61,Ray Allen,2008,January,15,37.0,17.7,6.5,12.7,0.508,2.5,5.5,0.451,2.3,2.3,1.0,0.9,2.4,3.3,3.3,1.7,1.5,0.3,2.2,30.4,0,0,8.9
61,Ray Allen,2008,February,12,37.3,20.3,6.8,14.3,0.48,3.0,7.2,0.419,3.7,3.8,0.978,0.5,2.8,3.3,2.9,1.8,0.8,0.2,2.3,29.5,0,0,6.4
61,Ray Allen,2008,March,14,36.1,18.6,6.4,13.9,0.456,2.4,6.4,0.382,3.4,3.5,0.98,1.0,3.2,4.2,2.4,1.8,0.6,0.1,2.0,27.6,0,0,2.2
61,Ray Allen,2008,April,5,37.0,14.2,4.8,12.6,0.381,3.0,6.8,0.441,1.6,1.8,0.889,0.2,3.0,3.2,3.0,1.2,0.8,0.4,2.2,24.9,0,0,2.0
62,Tony Allen,2008,October,2,20.9,8.5,2.5,8.5,0.294,0.0,1.5,0.0,3.5,4.0,0.875,1.0,2.0,3.0,1.0,0.5,2.0,0.5,2.0,20.6,0,0,-0.5
62,Tony Allen,2008,November,16,19.9,9.1,3.4,6.5,0.529,0.1,0.4,0.143,2.1,2.8,0.773,0.6,1.6,2.1,1.1,1.4,1.1,0.6,1.9,17.1,0,0,2.1
62,Tony Allen,2008,December,13,19.4,6.5,2.5,5.8,0.44,0.2,0.6,0.25,1.3,2.2,0.607,0.3,1.5,1.8,1.4,2.2,1.4,0.1,2.7,13.0,0,0,2.0
62,Tony Allen,2008,January,4,18.9,7.5,3.3,6.5,0.5,0.0,0.5,0.0,1.0,1.3,0.8,1.0,3.0,4.0,2.0,2.0,1.3,0.8,1.0,19.3,0,0,7.0
62,Tony Allen,2008,February,5,14.9,6.8,2.4,4.8,0.5,0.0,0.6,0.0,2.0,2.8,0.714,0.4,0.4,0.8,1.4,1.2,1.0,0.8,2.4,14.1,0,0,-0.6
62,Tony Allen,2008,April,6,20.9,8.0,3.2,6.3,0.5,0.5,0.7,0.75,1.2,1.7,0.7,0.2,3.2,3.3,2.3,1.8,0.7,0.7,2.0,17.7,0,0,2.3
66,Morris Almond,2008,November,10,11.0,4.2,1.6,3.3,0.485,0.1,0.5,0.2,0.9,1.1,0.818,0.3,0.9,1.2,0.1,0.5,0.1,0.1,1.4,5.9,0,0,-1.7
66,Morris Almond,2008,December,8,15.3,5.5,1.9,5.3,0.357,0.4,1.1,0.333,1.4,1.6,0.846,0.8,2.3,3.0,0.6,1.3,0.4,0.4,1.9,11.0,0,0,-1.8
66,Morris Almond,2008,January,3,4.2,0.0,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0,0,-4.3
