2010/10/3,Bulls,,Carlos Boozer,finger/,fracture/
2010/10/6,Pistons,,Jonas Jerebko,Acchilles/tendon/,torn/
2010/10/8,Blazers,,Jeff Ayres,knee/,torn/
2010/10/8,Nets,,Troy Murphy,back/,strained/
2010/10/8,Pistons,,Jonas Jerebko,Achilles/tendon/,surgery/torn/
2010/10/9,Nuggets,,Al Harrington,foot/,plantar fasci/torn/
2010/10/12,Bucks,,Darington Hobson,hip/,surgery/
2010/10/12,Kings,,Samuel Dalembert,groin/,strained/
2010/10/17,Bobcats,,Dominic McGuire,shin/,fracture/
2010/10/18,Warriors,,Lou Amundson,finger/,surgery/fracture/
2010/10/19,Suns,,Josh Childress,finger/,fracture/
2010/10/22,Heat,,Mike Miller,thumb/hand/ligament/,surgery/broken/damage/
2010/10/25,Thunder,,Nick Collison,knee/,injury/
2010/10/25,Timberwolves,,Martell Webster,back/,surgery/
2010/10/26,Heat,,Mario Chalmers,ankle/,sprained/
2010/11/4,Blazers,,Elliot Williams,knee/,surgery/dislocate/
2010/11/11,Spurs,,James Anderson,foot/,fracture/
2010/11/11,Warriors,,David Lee,elbow/,
2010/11/12,Warriors,,David Lee,elbow/,surgery/
2010/11/19,Blazers,,Greg Oden,knee/,surgery/fracture/
2010/11/23,Heat,,Udonis Haslem,foot/ligament/,surgery/torn/
2010/11/24,Celtics,,Delonte West,wrist/,broken/
2010/11/26,Raptors,,Reggie Evans,foot/,broken/
2010/11/30,Celtics,,Delonte West,wrist/,surgery/broken/
2010/12/2,Hawks,,Joe Johnson,elbow/,surgery/
2010/12/13,Nets,,Damion James,foot/,surgery/broken/
2010/12/15,Bulls,,Joakim Noah,thumb/ligament/,torn/
2010/12/15,Wizards,,Yi Jianlian,knee/,sprained/
2010/12/16,Bulls,,Joakim Noah,thumb/ligament/,surgery/torn/
2010/12/16,Rockets,,Yao Ming,ankle/,fracture/
2010/12/20,Clippers,,Craig Smith,back/,injury/
2010/12/23,Magic,,Daniel Orton,knee/,surgery/
2010/12/30,Rockets,,Chuck Hayes,ankle/,sprained/
2010/12/31,Cavaliers,,Anderson Varejao,cheekbone/,fracture/
2010/12/31,Warriors,,Brandan Wright,back/,strained/
2011/1/3,Knicks,,Danilo Gallinari,knee/,sprained/
2011/1/4,Mavericks,,Caron Butler,knee/tendon/,surgery/torn/
2011/1/5,Bobcats,,DeSagana Diop,Achilles/tendon/,surgery/rupture/
2011/1/5,Bucks,,Brandon Jennings,foot/,surgery/
2011/1/6,Suns,,Gani Lawal,knee/,torn/
2011/1/7,Cavaliers,,Anderson Varejao,ankle/tendon/,torn/
2011/1/7,Rockets,,Yao Ming,ankle/,surgery/fracture/
2011/1/8,Lakers,,Matt Barnes,knee/,torn/
2011/1/11,Lakers,,Matt Barnes,knee/,surgery/torn/
2011/1/17,Blazers,,Brandon Roy,knee/,surgery/
2011/1/20,Blazers,,Marcus Camby,knee/,surgery/torn/
2011/1/22,Magic,,Jason Williams,foot/,injury/
2011/1/30,Suns,,Gani Lawal,knee/,surgery/torn/
2011/2/3,Raptors,,Linas Kleiza,knee/,surgery/fracture/damage/
2011/2/4,Kings,,Hassan Whiteside,knee/tendon/,torn/
2011/2/6,Celtics,,Marquis Daniels,spinal/,bruise/
2011/2/8,Mavericks,,Dominique Jones,foot/,fracture/
2011/2/11,Mavericks,,Dominique Jones,foot/,surgery/fracture/
2011/2/12,Cavaliers,,Anderson Varejao,ankle/tendon/,surgery/torn/
2011/2/15,Heat,,Dexter Pittman,knee/,surgery/
2011/2/16,Grizzlies,,Rudy Gay,shoulder/,dislocate/
2011/2/27,Cavaliers,,Antawn Jamison,finger/,broken/
2011/2/28,Cavaliers,,Antawn Jamison,finger/,surgery/broken/
2011/3/3,Celtics,,Glen Davis,knee/,tendinitis/
2011/3/3,Thunder,,Nate Robinson,knee/,surgery/
2011/3/5,Kings,,Hassan Whiteside,knee/tendon/,surgery/torn/
2011/3/7,Suns,,Channing Frye,shoulder/,dislocate/
2011/3/15,Rockets,,Terrence Williams,abdomen/,surgery/
2011/3/21,Heat,,Mario Chalmers,knee/,sprained/
2011/3/21,Spurs,,Tim Duncan,ankle/,sprained/
2011/3/25,Grizzlies,,Rudy Gay,shoulder/,surgery/dislocate/
2011/3/30,Kings,,Marquis Daniels,back/,surgery/
2011/3/31,Bobcats,,Joel Przybilla,knee/tendon/,surgery/torn/
