Date,Team,Acquired,Relinquised,Injury part,Descriptive Verb,##,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS,&&,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
2010/10/9,Nuggets,,Al Harrington,foot/,plantar fasci/torn/,##,April,2,32.9,17.5,5.5,15.5,0.355,3.0,8.5,0.353,3.5,4.5,0.778,2.0,1.5,3.5,0.5,3.0,2.0,0.5,2.0,27.0,0,0,-12.5,&&,October,3,26.1,16.3,6.0,14.7,0.409,3.0,7.0,0.429,1.3,2.0,0.667,1.7,4.3,6.0,1.3,1.7,0.7,0.3,4.0,26.9,1,0,7.0
2010/10/12,Kings,,Samuel Dalembert,groin/,strained/,##,April,7,28.0,9.0,3.9,6.7,0.574,0.0,0.0,0.0,1.3,2.1,0.6,2.6,8.0,10.6,0.7,1.6,0.3,1.0,2.0,25.0,2,0,-2.9,&&,October,2,11.4,2.0,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,0.0,1.0,0.0,2.0,1.5,10.0,0,0,-3.5
2010/10/19,Suns,,Josh Childress,finger/,fracture/,##,April,8,33.1,10.6,3.8,7.9,0.476,0.5,1.1,0.444,2.6,3.3,0.808,2.9,2.3,5.1,1.6,1.0,0.6,0.9,1.4,22.7,1,0,-0.1,&&,October,3,16.7,3.3,1.7,3.3,0.5,0.0,0.3,0.0,0.0,0.7,0.0,0.7,1.3,2.0,0.0,0.3,0.7,0.3,1.0,8.4,0,0,-1.7
2010/10/26,Heat,,Mario Chalmers,ankle/,sprained/,##,April,7,28.0,8.0,2.7,8.6,0.317,1.0,4.9,0.206,1.6,2.1,0.733,0.4,1.9,2.3,3.9,1.9,2.0,0.1,3.1,21.1,0,0,5.6,&&,October,2,3.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.3,0,0,1.5
2010/11/11,Spurs,,James Anderson,foot/,fracture/,##,October,2,18.7,7.5,2.5,6.0,0.417,1.5,3.5,0.429,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,12.1,0,0,1.0,&&,November,4,17.1,6.8,2.3,5.3,0.429,1.8,3.3,0.538,0.5,1.0,0.5,0.0,1.3,1.3,1.8,0.8,0.3,0.5,1.3,12.4,0,0,-2.5
2010/11/11,Warriors,,David Lee,elbow/,,##,October,3,29.8,10.7,4.0,8.7,0.462,0.0,0.0,0.0,2.7,4.0,0.667,2.0,8.0,10.0,3.7,3.3,0.0,0.3,3.0,25.8,2,0,-1.3,&&,November,7,38.2,15.7,6.4,14.0,0.459,0.0,0.0,0.0,2.9,4.0,0.714,4.7,5.7,10.4,2.9,2.3,1.9,0.3,1.7,36.7,4,0,3.9
2010/11/12,Warriors,,David Lee,elbow/,surgery/,##,October,3,29.8,10.7,4.0,8.7,0.462,0.0,0.0,0.0,2.7,4.0,0.667,2.0,8.0,10.0,3.7,3.3,0.0,0.3,3.0,25.8,2,0,-1.3,&&,November,7,38.2,15.7,6.4,14.0,0.459,0.0,0.0,0.0,2.9,4.0,0.714,4.7,5.7,10.4,2.9,2.3,1.9,0.3,1.7,36.7,4,0,3.9
2010/11/23,Heat,,Udonis Haslem,foot/ligament/,surgery/torn/,##,October,4,22.6,6.3,2.3,5.8,0.391,0.0,0.0,0.0,1.8,2.0,0.875,2.0,6.5,8.5,0.0,0.8,0.5,0.3,3.5,18.0,1,0,1.0,&&,November,9,28.3,8.8,3.9,7.0,0.556,0.0,0.0,0.0,1.0,1.3,0.75,2.3,5.7,8.0,0.7,1.2,0.6,0.2,2.8,20.5,3,0,5.4
2010/11/24,Celtics,,Delonte West,wrist/,broken/,##,April,5,25.8,8.4,3.0,8.8,0.341,0.2,1.4,0.143,2.2,3.2,0.688,1.2,1.8,3.0,5.2,2.2,1.0,0.2,1.6,21.2,0,0,-0.4,&&,November,5,17.5,6.8,2.8,5.0,0.56,0.6,1.2,0.5,0.6,0.8,0.75,0.2,1.6,1.8,2.0,1.0,0.6,0.6,0.8,14.6,0,0,-4.0
2010/11/26,Raptors,,Reggie Evans,foot/,broken/,##,October,2,30.2,1.0,0.5,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.5,10.5,15.0,0.5,0.0,1.0,0.5,4.0,24.3,0,0,10.0,&&,November,13,26.8,4.5,1.3,3.5,0.378,0.0,0.0,0.0,1.8,3.5,0.533,4.3,7.4,11.7,1.5,1.4,1.3,0.2,2.9,24.0,1,0,-9.6
